prd_ref,requirement_desc,ac_id,tdd_anchor,vdd_anchor,test_id,test_path,type,evidence_path,owner,status,last_run,risk,notes
FR-1 User Mgmt & Security,Email verification before login; TTL 15m; resend ≤3/h; purge ≤7d,AC-1.1,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.1,apps/backend/tests/api/auth/verify_email.test.ts,integration,reports/security/AC-1.1.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Lockout after 10 failed logins; CAPTCHA on unlock,AC-1.2,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.2,apps/backend/tests/api/auth/lockout_rate_limit.test.ts,integration,reports/security/AC-1.2.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Password policy ≥12 chars; mixed classes,AC-1.3,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.3,apps/backend/tests/api/auth/password_policy.test.ts,unit,reports/security/AC-1.3.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,GDPR export/delete ≤30d,AC-1.4,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.4,apps/backend/tests/api/auth/dsr_sla.e2e.ts,e2e,reports/security/AC-1.4.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,2FA (TOTP) enrollment gated by password; 10 backup codes,AC-1.5,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.5,apps/backend/tests/api/auth/totp_enroll.test.ts,integration,reports/security/AC-1.5.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,2FA login requires TOTP/backup code (burn after use),AC-1.6,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.6,apps/backend/tests/api/auth/totp_login.e2e.ts,e2e,reports/security/AC-1.6.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Admin endpoints enforce role=admin; no IDOR,AC-1.7,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.7,apps/backend/tests/api/auth/admin_rbac.test.ts,security,reports/security/AC-1.7.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Verify resend limit 3/hour; auto-purge unverified @7d,AC-1.8,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.8,apps/backend/tests/api/auth/verify_resend_limit.test.ts,integration,reports/security/AC-1.8.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Reset token single-use; TTL 15m; revoke refresh on success,AC-1.9,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.9,apps/backend/tests/api/auth/password_reset_security.test.ts,security,reports/security/AC-1.9.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,Refresh rotation; reuse → family revoke; logout clears sessions,AC-1.10,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.10,apps/backend/tests/api/auth/refresh_rotation.test.ts,integration,reports/security/AC-1.10.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,JWKS/Key rotation grace window,AC-1.11,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.11,apps/backend/tests/api/auth/jwks_rotation.test.ts,integration,reports/security/AC-1.11.html,QA:Auth,pending,,High,
FR-1 User Mgmt & Security,No user enumeration; timing variance ≤10%,AC-1.12,TDD §4.2 Auth; §5 Security; §12 Compliance,,AC-1.12,apps/backend/tests/api/auth/no_user_enum.timing.test.ts,security,reports/security/AC-1.12.html,QA:Auth,pending,,High,
FR-2 Profile & Settings,Alias unique (case-insensitive),AC-2.1,TDD §4.3 Users; §6 Modules,,AC-2.1,apps/backend/tests/api/users/alias_unique.test.ts,integration,reports/AC-2.1.json,QA:Profile,pending,,Medium,
FR-2 Profile & Settings,"Avatar ≤5MB (JPEG/PNG/WebP), renders in UI",AC-2.2,TDD §4.3 Users; §6 Modules,,AC-2.2,apps/backend/tests/api/users/avatar_upload_render.e2e.ts,e2e,reports/AC-2.2.json,QA:Profile,pending,,Medium,
FR-2 Profile & Settings,Each update snapshots to user_state_history,AC-2.3,TDD §4.3 Users; §6 Modules,,AC-2.3,apps/backend/tests/api/users/user_state_history.test.ts,integration,reports/AC-2.3.json,QA:Profile,pending,,Medium,
FR-2 Profile & Settings,DOB & gender immutable post-creation (422),AC-2.4,TDD §4.3 Users; §6 Modules,,AC-2.4,apps/backend/tests/api/users/immutable_fields.test.ts,contract,reports/AC-2.4.json,QA:Profile,pending,,Medium,
